,MSOA11CD,Count
920,E02000953,4.0
921,E02000954,5.0
922,E02000955,5.0
923,E02000956,10.0
924,E02000957,14.0
925,E02000958,0.0
926,E02000959,1.0
927,E02000960,7.0
928,E02000961,12.0
929,E02000962,3.0
930,E02000963,0.0
931,E02000964,5.0
932,E02000965,4.0
933,E02000966,14.0
934,E02000967,34.0
935,E02000968,17.0
936,E02000969,3.0
937,E02000970,114.0
938,E02000971,37.0
939,E02000972,411.0
940,E02000973,6.0
941,E02000974,59.0
942,E02000975,28.0
943,E02000976,56.0
944,E02000977,479.0
945,E02000978,44.0
946,E02000979,59.0
947,E02000980,10.0
948,E02000981,30.0
949,E02000982,24.0
950,E02000983,0.0
951,E02006782,3.0
952,E02006783,1.0
953,E02006784,6.0
954,E02006785,0.0
955,E02006786,1.0
956,E02006787,8.0
957,E02006788,0.0
958,E02006789,1.0
959,E02006791,2.0
960,E02006792,18.0
961,E02006793,2.0
962,E02006794,2.0
963,E02006795,7.0
964,E02006796,7.0
965,E02006798,8.0
966,E02006799,3.0
967,E02006800,3.0
968,E02006801,30.0
969,E02006802,0.0
970,E02006836,0.0
971,E02006853,1.0
972,E02006854,57.0
973,E02006882,3.0
974,E02006918,2.0
975,E02006921,1.0
976,E02006924,3.0
977,E02006925,1.0
978,E02006927,1.0
979,E02006928,0.0
980,E02006929,29.0
981,E02006930,13.0
982,E02006931,2.0
