,MSOA11CD,Count
741,E02000768,9.0
742,E02000769,16.0
743,E02000770,6.0
744,E02000772,25.0
745,E02000773,19.0
746,E02000774,5.0
747,E02000776,10.0
748,E02000777,19.0
749,E02000779,6.0
750,E02000780,27.0
751,E02000781,25.0
752,E02000782,10.0
753,E02000783,8.0
754,E02000784,25.0
755,E02000785,26.0
756,E02000786,30.0
757,E02000787,29.0
758,E02000788,14.0
759,E02000789,16.0
760,E02000790,8.0
761,E02000791,24.0
762,E02000792,13.0
763,E02000793,19.0
764,E02000794,21.0
765,E02000795,16.0
766,E02000796,24.0
767,E02000797,14.0
768,E02000798,29.0
769,E02000799,20.0
770,E02000800,8.0
771,E02000801,18.0
772,E02000802,19.0
773,E02000803,35.0
774,E02000804,20.0
775,E02000805,21.0
776,E02000806,44.0
777,E02000807,12.0
778,E02000808,35.0
779,E02000809,26.0
780,E02000810,16.0
781,E02000812,20.0
782,E02000813,25.0
783,E02000814,22.0
784,E02000815,14.0
785,E02000816,18.0
786,E02000817,14.0
787,E02000818,22.0
788,E02000819,11.0
789,E02000820,10.0
790,E02000821,12.0
791,E02000822,3.0
792,E02000823,17.0
793,E02000824,18.0
794,E02000825,7.0
795,E02000826,5.0
796,E02000827,23.0
797,E02000828,20.0
798,E02000829,13.0
799,E02000830,10.0
800,E02000831,15.0
801,E02000832,20.0
802,E02000833,15.0
803,E02000834,26.0
804,E02000835,23.0
805,E02000836,15.0
806,E02000837,38.0
807,E02000838,31.0
808,E02000839,39.0
809,E02000840,22.0
810,E02000841,24.0
811,E02000842,21.0
812,E02000843,17.0
813,E02000844,17.0
814,E02000845,6.0
815,E02000846,20.0
816,E02000847,12.0
817,E02000848,15.0
818,E02000849,16.0
819,E02000850,35.0
820,E02000851,29.0
821,E02000852,18.0
822,E02000853,12.0
823,E02000854,17.0
824,E02000855,18.0
825,E02000856,16.0
826,E02000857,16.0
827,E02000858,22.0
828,E02000859,20.0
829,E02000860,12.0
830,E02000861,21.0
831,E02000863,14.0
832,E02000864,23.0
833,E02000865,9.0
834,E02000866,21.0
835,E02000867,16.0
836,E02000868,7.0
837,E02000869,3.0
838,E02000870,6.0
839,E02000871,18.0
840,E02000872,7.0
841,E02000873,11.0
842,E02000874,11.0
843,E02000875,12.0
844,E02000876,9.0
845,E02000877,25.0
846,E02000878,16.0
847,E02000879,9.0
848,E02000880,8.0
849,E02000881,23.0
850,E02000882,9.0
851,E02000883,18.0
852,E02000884,10.0
853,E02000885,10.0
854,E02000886,9.0
855,E02000887,10.0
856,E02000888,15.0
857,E02000889,14.0
858,E02000890,19.0
859,E02000891,40.0
860,E02000893,14.0
861,E02000894,11.0
862,E02000895,39.0
863,E02000896,26.0
864,E02000897,15.0
865,E02000898,16.0
866,E02000899,16.0
867,E02000900,20.0
868,E02000901,17.0
869,E02000902,15.0
870,E02000903,25.0
871,E02000904,25.0
872,E02000905,12.0
873,E02000906,11.0
874,E02000907,23.0
875,E02000908,21.0
876,E02000909,19.0
877,E02000910,10.0
878,E02000911,33.0
879,E02000912,8.0
880,E02000913,21.0
881,E02000914,18.0
882,E02000915,18.0
883,E02000916,21.0
884,E02000917,9.0
885,E02000918,17.0
886,E02000919,11.0
887,E02000920,23.0
888,E02000921,13.0
889,E02000922,16.0
890,E02000923,12.0
891,E02000924,33.0
892,E02000925,6.0
893,E02000926,14.0
894,E02000927,10.0
895,E02000928,11.0
896,E02000929,12.0
897,E02000930,18.0
898,E02000931,6.0
899,E02000932,33.0
900,E02000933,14.0
901,E02000934,23.0
902,E02000935,10.0
903,E02000936,17.0
904,E02000937,16.0
905,E02000938,27.0
906,E02000939,13.0
907,E02000940,19.0
908,E02000941,17.0
909,E02000942,12.0
910,E02000943,12.0
911,E02000944,13.0
912,E02000945,27.0
913,E02000946,16.0
914,E02000947,8.0
915,E02000948,8.0
916,E02000949,15.0
917,E02000950,16.0
918,E02000951,10.0
919,E02000952,7.0
920,E02000953,10.0
921,E02000954,4.0
922,E02000955,4.0
923,E02000956,25.0
924,E02000957,20.0
925,E02000958,15.0
926,E02000959,12.0
927,E02000960,10.0
928,E02000961,12.0
929,E02000962,14.0
930,E02000963,8.0
931,E02000964,17.0
932,E02000965,5.0
933,E02000966,10.0
934,E02000967,22.0
935,E02000968,14.0
