,MSOA11CD,cluster_1_degree,restaurant,edu_rate,population,income,workplace,employee,PTAI,rail_sta,under_sta,supermarket,bus_stop,area,rest_degree,pop_degree,income_degree,workplace_degree,employee_degree,rail_degree,under_degree,market_degree,bus_degree
36,E02000038,0.0,8.0,0.401,11450,54300,590.0,2500.0,5.602078541,0.0,0.0,2.0,27.0,176.25,0.04539007092198582,64.9645390070922,308.0851063829787,3.347517730496454,14.184397163120567,0.0,0.0,0.011347517730496455,0.15319148936170213
37,E02000039,0.0,7.0,0.464,7203,67000,670.0,3000.0,3.632206335,0.0,0.0,5.0,34.0,213.2,0.03283302063789869,33.78517823639775,314.25891181988743,3.1425891181988743,14.071294559099439,0.0,0.0,0.023452157598499064,0.15947467166979362
38,E02000040,0.0,1.0,0.375,8498,55000,425.0,2500.0,17.6091403,0.0,0.0,3.0,39.0,515.51,0.0019398265795037924,16.484646272623227,106.69046187270858,0.8244262962891118,4.849566448759481,0.0,0.0,0.005819479738511377,0.0756532366006479
39,E02000041,0.0,14.0,0.344,10086,51300,880.0,5000.0,9.381338575,0.0,0.0,3.0,29.0,134.92,0.10376519418914913,74.75541061369701,380.2253187073822,6.522383634746517,37.05899792469612,0.0,0.0,0.02223539875481767,0.2149421879632375
40,E02000042,0.0,10.0,0.442,12306,51100,1600.0,7000.0,18.3674905,0.0,0.0,3.0,24.0,121.25,0.08247422680412371,101.49278350515463,421.44329896907215,13.195876288659793,57.7319587628866,0.0,0.0,0.024742268041237112,0.1979381443298969
41,E02000043,0.0,1.0,0.527,8324,65800,335.0,700.0,9.285435274,0.0,0.0,0.0,12.0,146.94,0.006805498843065197,56.648972369674695,447.80182387368995,2.279842112426841,4.7638491901456375,0.0,0.0,0.0,0.08166598611678236
42,E02000044,0.0,0.0,0.3,8883,49400,410.0,1500.0,9.458753717,1.0,1.0,0.0,18.0,110.74,0.0,80.2149178255373,446.08994040093916,3.702365902113058,13.545241105291675,0.009030160736861116,0.009030160736861116,0.0,0.1625428932635001
43,E02000045,2.0,1.0,0.378,10995,49800,410.0,2250.0,5.51964788,0.0,0.0,1.0,21.0,173.5,0.005763688760806916,63.371757925072046,287.0317002881844,2.363112391930836,12.968299711815561,0.0,0.0,0.005763688760806916,0.12103746397694524
44,E02000046,0.0,15.0,0.502,7699,60600,975.0,4500.0,3.037676518,0.0,0.0,1.0,18.0,96.93,0.1547508511296812,79.42845352316104,625.1934385639121,10.058805323429278,46.425255338904364,0.0,0.0,0.010316723408645414,0.18570102135561745
45,E02000047,0.0,1.0,0.25,12519,43800,405.0,2500.0,6.490171406,0.0,0.0,0.0,21.0,142.24,0.007030371203599549,88.01321709786276,307.93025871766025,2.8473003374578174,17.575928008998876,0.0,0.0,0.0,0.14763779527559054
