,id,category,longitude,latitude,general_category
196,WWcbLt3xLVSrST0u6NSq2A,indpak,-0.0932950004935265,51.5233001708984,Indian
197,Xn0JN-3z53Zng9l8LW6cFw,indpak,-0.0797928,51.5097456,Indian
199,NMuGRVmkFDzFxoFSP_CDXw,indpak,-0.080996,51.509647,Indian
200,Re9VmKSsBpEEWUj8_dMnpQ,indpak,-0.0835023115430844,51.5099175869964,Indian
201,MXS9sVOtxhIK_bOc6E6zqQ,malaysian,-0.0980528444051743,51.5205756735942,Southeast_Asian
203,QCE7CJlAJf0Aq21G2d2WUw,malaysian,-0.082508,51.517158,Southeast_Asian
204,aKDQXYXFeQaMjPmjbcOYow,malaysian,-0.1079541,51.5233177,Southeast_Asian
205,3pF1ZkTVDBtSzmaLtWyAeg,thai,-0.0935371,51.5117941,Southeast_Asian
206,pMlY16OUVJsbKVk9ybqqwg,thai,-0.101836,51.5132928,Southeast_Asian
207,S9VsByogNJHx-1OF93FrjA,thai,-0.0936151295900345,51.5125860764805,Southeast_Asian
208,y-aIiTMuzBWQPYF0iwnJBw,thai,-0.0826285,51.5172197,Southeast_Asian
209,Qi0fhL3ZhLRk7eqvms-2yw,thai,-0.084658,51.522602,Southeast_Asian
210,SxonE3GM7Z7apUH1dMzwjg,thai,-0.082547968219952,51.517186746189,Southeast_Asian
211,U9RQD5OUfGX13dMohzvXxg,thai,-0.10334950376589,51.52010133381,Southeast_Asian
212,I_uP40KTq65soUsaml05Bw,thai,-0.085114,51.516935,Southeast_Asian
213,Vf2vaa7QGgvm2HiifkaYNw,thai,-0.092789,51.5228571,Southeast_Asian
214,S4LCYPuVkLNNRB4sanTHJQ,thai,-0.0952182,51.513538,Southeast_Asian
215,fNnBWBE3VCmMQhA6-YvNWQ,thai,-0.093849,51.524172,Southeast_Asian
216,VnAF-FALU06IAvYjzVpFJw,thai,-0.0871950015425682,51.5243873596191,Southeast_Asian
217,gOKK-7ANgIh7RB1ezy5NLQ,thai,-0.107461102492794,51.5142883565888,Southeast_Asian
218,iuWBWSJ3XIIGW2lBaFAcmA,vietnamese,-0.0917677,51.5145411,Southeast_Asian
