,id,category,longitude,latitude,general_category,geometry,index_right,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ
2652,IaXQRO0Ob4pbkgnLDltlmg,tradamerican,-0.048859651657853,51.679817456755,American,POINT (534995.0256368309 199696.6460438037),270.0,E02000278,Enfield 002,E09000010,Enfield,E12000007,London,8837.0,8771.0,66.0,67.2,3278.0,2.7
2654,bYw2zOqTZRe2AVN00kB8Sg,caribbean,-0.0682809,51.6038561,Latin_American,POINT (533875.769726818 191213.6746723387),962.0,E02006794,Haringey 037,E09000014,Haringey,E12000007,London,7306.0,7277.0,29.0,105.4,2911.0,2.5
2655,HLD5p1PDW3v76hKg38ucMg,caribbean,-0.0536757,51.6337318,Latin_American,POINT (534798.6582518973 194562.8103225917),291.0,E02000299,Enfield 023,E09000010,Enfield,E12000007,London,9312.0,9262.0,50.0,106.2,3438.0,2.7
2656,Gi9IXZnoY1ngg_u84TcSRg,caribbean,-0.0579312,51.6605338,Latin_American,POINT (534424.9238193256 197535.4836027491),273.0,E02000281,Enfield 005,E09000010,Enfield,E12000007,London,8835.0,8705.0,130.0,46.6,3531.0,2.5
2657,KvFdyZsEtBTje9Acn9djng,italian,0.0702865994724792,51.494999405499,Italian,POINT (543813.8369846161 179371.3947139836),307.0,E02000316,Greenwich 004,E09000011,Greenwich,E12000007,London,10750.0,10698.0,52.0,57.0,4944.0,2.2
2660,dnOI50VTv0EkS0jV8zD0Uw,italian,-0.0005672689549101,51.4531875820633,Italian,POINT (539022.6565089035 174585.1527675337),642.0,E02000665,Lewisham 013,E09000023,Lewisham,E12000007,London,7916.0,7907.0,9.0,98.9,3504.0,2.3
2661,GRFbhP55xvjqOyX-T1Lynw,italian,0.0074887660636582,51.466895545023,Italian,POINT (539540.5748759743 176124.7975719768),638.0,E02000661,Lewisham 009,E09000023,Lewisham,E12000007,London,6342.0,6275.0,67.0,49.3,3139.0,2.0
2662,7vetrEYNhrhL4Bxn0uQsrQ,italian,0.0082113822479641,51.4672455770427,Italian,POINT (539589.6970817879 176165.0976023196),638.0,E02000661,Lewisham 009,E09000023,Lewisham,E12000007,London,6342.0,6275.0,67.0,49.3,3139.0,2.0
2663,Aj-ILrFn34_qb73XJ-5TuA,italian,0.0092985,51.4650348,Italian,POINT (539671.9486314362 175921.3289707662),321.0,E02000333,Greenwich 021,E09000011,Greenwich,E12000007,London,6269.0,6152.0,117.0,49.7,3005.0,2.0
2665,1YutTTcrvM20j6fKekVXXA,italian,0.012705165714151,51.4902229791413,Italian,POINT (539831.5700324675 178728.7739639854),980.0,E02006929,Greenwich 036,E09000011,Greenwich,E12000007,London,7490.0,7489.0,1.0,29.4,3333.0,2.2
2666,5IwO-x4R8Ggik9NRKDQ7Mw,french,0.000952,51.484141,French,POINT (539034.1504804688 178030.0825170433),981.0,E02006930,Greenwich 037,E09000011,Greenwich,E12000007,London,6561.0,6557.0,4.0,75.6,2876.0,2.3
2667,fL9EBENF5gDDPwxnRr1nzQ,french,0.007533,51.467383,French,POINT (539542.1610753565 176179.0871577979),638.0,E02000661,Lewisham 009,E09000023,Lewisham,E12000007,London,6342.0,6275.0,67.0,49.3,3139.0,2.0
2669,lXpqDY0wnoAMHCPAT5YI_A,french,-0.0066080000251531,51.4613838195801,French,POINT (538578.1596536362 175485.1407331853),641.0,E02000664,Lewisham 012,E09000023,Lewisham,E12000007,London,9928.0,9797.0,131.0,70.2,4452.0,2.2
2670,hHNUnrgbAIya4FIN4cnQRA,french,0.0088038,51.4668425,French,POINT (539632.0730888416 176121.4037609042),638.0,E02000661,Lewisham 009,E09000023,Lewisham,E12000007,London,6342.0,6275.0,67.0,49.3,3139.0,2.0
2672,Eei4MYrjAT_KCvX6B20Law,african,0.0714578,51.4909105,African,POINT (543908.0002490166 178919.0077321929),307.0,E02000316,Greenwich 004,E09000011,Greenwich,E12000007,London,10750.0,10698.0,52.0,57.0,4944.0,2.2
2673,Ccb0U09LAUUiYRzjxDkDEQ,african,0.0015342341231611,51.4888698601564,African,POINT (539060.1970736377 178557.0423146824),,,,,,,,,,,,,
2674,GA10AsUw4_C4eQWP3W9aYQ,african,-0.006236,51.4615402,African,POINT (538603.5268401161 175503.2338308129),641.0,E02000664,Lewisham 012,E09000023,Lewisham,E12000007,London,9928.0,9797.0,131.0,70.2,4452.0,2.2
